"vehicle_local_position->x_x","vehicle_local_position->x_y","vehicle_local_position->z_x","vehicle_local_position->z_y"
378.782,1.127200365,378.782,0.0924763158,
378.792,1.127129197,378.792,0.09264346957,
378.882,1.126578093,378.882,0.09452462196,
378.982,1.126054287,378.982,0.09676772356,
379.082,1.125483036,379.082,0.09608031809,
379.182,1.124917388,379.182,0.09655521065,
379.282,1.124352217,379.282,0.09754912555,
379.382,1.123774171,379.382,0.09882253408,
379.482,1.123608232,379.482,0.09676894546,
379.582,1.123433352,379.582,0.09703277051,
379.682,1.122987628,379.682,0.09794852138,
379.782,1.122327685,379.782,0.0985449031,
379.882,1.12186408,379.882,0.09699556977,
379.982,1.121033669,379.982,0.09645172209,
380.082,1.119765282,380.082,0.09598705918,
380.182,1.118519425,380.182,0.09473926574,
380.282,1.118528366,380.282,0.09195888788,
380.382,1.117915154,380.382,0.08992751688,
380.482,1.116899729,380.482,0.08966721594,
380.582,1.115837812,380.582,0.08872936666,
380.682,1.116239429,380.682,0.08515736461,
380.782,1.112072229,380.782,0.0731908977,
380.882,1.097429872,380.882,0.03985803574,
380.982,1.062797189,380.982,-0.02352629602,
381.082,1.006062388,381.082,-0.1127476245,
381.182,0.9270761013,381.182,-0.2095960826,
381.282,0.8317373991,381.282,-0.2977257371,
381.382,0.7247412205,381.382,-0.3736354709,
381.482,0.6119039655,381.482,-0.4412504733,
381.582,0.4954873323,381.582,-0.5012720823,
381.682,0.3797165155,381.682,-0.5559384823,
381.782,0.2681349516,381.782,-0.605062902,
381.882,0.1644863784,381.882,-0.6495507956,
381.982,0.06983942538,381.982,-0.6882768273,
382.082,-0.01404764783,382.082,-0.7216525674,
382.182,-0.08556894958,382.182,-0.7508137226,
382.282,-0.1427701563,382.282,-0.7774295211,
382.382,-0.1857134551,382.382,-0.8004837036,
382.482,-0.2140829861,382.482,-0.8204083443,
382.582,-0.2278769761,382.582,-0.837376833,
382.682,-0.2266782969,382.682,-0.8535091877,
382.782,-0.2142636329,382.782,-0.8674176931,
382.882,-0.1924958378,382.882,-0.8800330758,
382.982,-0.1633919179,382.982,-0.8918097019,
383.082,-0.1279588938,383.082,-0.9032182693,
383.182,-0.09049583972,383.182,-0.9135746956,
383.282,-0.05301328003,383.282,-0.9231963158,
383.382,-0.01668851636,383.382,-0.9316089153,
383.482,0.019829344,383.482,-0.9382354021,
383.582,0.05141924694,383.582,-0.9438669086,
383.682,0.07734705508,383.682,-0.9484270215,
383.782,0.09797949344,383.782,-0.9518330693,
383.882,0.1168268844,383.882,-0.9545753002,
383.982,0.1288363934,383.982,-0.9566575885,
384.082,0.1346086562,384.082,-0.9586885571,
384.182,0.1351436824,384.182,-0.96119982,
384.282,0.1346907765,384.282,-0.9627836943,
384.382,0.1292304099,384.382,-0.9640874863,
384.482,0.1198266447,384.482,-0.9648197293,
384.582,0.1083588302,384.582,-0.9660283327,
384.682,0.1013014242,384.682,-0.967084527,
384.782,0.09188497066,384.782,-0.9684292674,
384.882,0.08131746203,384.882,-0.9689597487,
384.982,0.07082342356,384.982,-0.9694835544,
385.082,0.06616582721,385.082,-0.9691957235,
385.182,0.06105706096,385.182,-0.9689679146,
385.282,0.05985839292,385.282,-0.970044136,
385.382,0.05798983201,385.382,-0.9720441699,
385.482,0.05565297604,385.482,-0.9746121764,
385.582,0.05363213271,385.582,-0.9775385857,
385.682,0.05610081553,385.682,-0.9799279571,
385.782,0.05756039172,385.782,-0.9809777141,
385.882,0.05809194595,385.882,-0.980446279,
385.982,0.05825220793,385.982,-0.9807448387,
386.082,0.06171811372,386.082,-0.981030643,
386.182,0.06359157711,386.182,-0.9812254906,
386.282,0.06408073753,386.282,-0.9821861982,
386.382,0.06388022006,386.382,-0.9827184677,
386.482,0.06601178646,386.482,-0.9834083915,
386.582,0.06609036028,386.582,-0.9844892025,
386.682,0.06449291855,386.682,-0.9854879379,
386.782,0.06219622865,386.782,-0.9858811498,
386.882,0.06296866387,386.882,-0.9859570265,
386.982,0.06208422035,386.982,-0.9863062501,
387.082,0.0599078238,387.082,-0.9870078564,
387.182,0.05720765516,387.182,-0.9875884652,
387.282,0.05753006786,387.282,-0.9879404902,
387.382,0.05641657859,387.382,-0.9892243743,
387.482,0.05434888601,387.482,-0.9905599356,
387.582,0.05173628405,387.582,-0.9908098578,
387.682,0.05247753114,387.682,-0.9905303717,
387.782,0.05185564607,387.782,-0.9895233512,
387.882,0.05005741492,387.882,-0.9884947538,
387.982,0.0478646718,387.982,-0.9877918959,
388.082,0.04845995456,388.082,-0.9878235459,
388.182,0.0476976037,388.182,-0.9882995486,
388.282,0.04588378593,388.282,-0.9885972738,
388.382,0.04359138012,388.382,-0.9887298942,
388.482,0.04403516278,388.482,-0.9895579219,
388.582,0.04344786704,388.582,-0.990132153,
388.682,0.04199266434,388.682,-0.9897980094,
388.782,0.04032018036,388.782,-0.9896066189,
388.882,0.04176289216,388.882,-0.9895377755,
388.982,0.04191390425,388.982,-0.9893881083,
389.082,0.04100427404,389.082,-0.9893435836,
389.182,0.03975049406,389.182,-0.9885815382,
389.282,0.04198391736,389.282,-0.989549458,
389.382,0.04879131168,389.382,-0.9944628477,
389.482,0.06609016657,389.482,-1.000902176,
389.582,0.09698846936,389.582,-1.004496098,
389.682,0.1443363577,389.682,-1.005321026,
389.782,0.2053119987,389.782,-1.004568338,
389.882,0.2783853412,389.882,-1.002151608,
389.982,0.361114651,389.982,-0.9997363091,
390.082,0.4519276321,390.082,-0.9990534782,
390.182,0.5451965332,390.182,-0.9989185333,
390.282,0.6376441121,390.282,-0.9998580217,
390.382,0.7268447876,390.382,-1.001481652,
390.482,0.8133078218,390.482,-1.001627088,
390.582,0.89026618,390.582,-1.001050472,
390.682,0.95629704,390.682,-0.9992936254,
390.782,1.011160851,390.782,-0.9971760511,
390.882,1.057933807,390.882,-0.9942792058,
390.982,1.091691494,390.982,-0.9913006425,
391.082,1.113289475,391.082,-0.9890195131,
391.182,1.124259591,391.182,-0.9862943888,
391.282,1.130074978,391.282,-0.9842110872,
391.382,1.12691021,391.382,-0.9844918847,
391.482,1.116705537,391.482,-0.9840749502,
391.582,1.101641893,391.582,-0.9841434956,
391.682,1.087378263,391.682,-0.9830726385,
391.782,1.069566369,391.782,-0.9828263521,
391.882,1.049994469,391.882,-0.9828930497,
391.982,1.03077209,391.982,-0.9836243987,
392.082,1.016779542,392.082,-0.9832628369,
392.182,1.003467321,392.182,-0.983220458,
392.282,0.9916681647,392.282,-0.9822202325,
392.382,0.9824132919,392.382,-0.9815004468,
392.482,0.9793472886,392.482,-0.9791691899,
392.582,0.9776160121,392.582,-0.9780740142,
392.682,0.9773182273,392.682,-0.9772096276,
392.782,0.9786450863,392.782,-0.9760286212,
392.882,0.9835521579,392.882,-0.971011281,
392.982,0.9884601235,392.982,-0.9671912789,
393.082,0.9934870601,393.082,-0.9645203948,
393.182,0.9984254241,393.182,-0.9622089267,
393.282,1.004149914,393.282,-0.9572908282,
393.382,1.008769512,393.382,-0.9542056918,
393.482,1.012378216,393.482,-0.9522044659,
393.582,1.015142918,393.582,-0.9508938789,
393.682,1.017538786,393.682,-0.9457173347,
