"vehicle_local_position->x_x","vehicle_local_position->x_y","vehicle_local_position->z_x","vehicle_local_position->z_y"
137.764,1.035966516,137.764,-0.05464571714,
137.774,1.036000967,137.774,-0.05462768674,
137.864,1.036827326,137.864,-0.0541049391,
137.964,1.037966609,137.964,-0.05328971893,
138.064,1.038886547,138.064,-0.05449779332,
138.164,1.039607763,138.164,-0.05552782118,
138.264,1.040283561,138.264,-0.055560112,
138.364,1.041042566,138.364,-0.05638670921,
138.464,1.041656613,138.464,-0.05861549079,
138.564,1.042081237,138.564,-0.06079413742,
138.664,1.042375088,138.664,-0.06137690693,
138.764,1.042630196,138.764,-0.06240588427,
138.864,1.043005109,138.864,-0.06408244371,
138.964,1.043715954,138.964,-0.06543056667,
139.064,1.044387817,139.064,-0.06622885168,
139.164,1.045067549,139.164,-0.06669434905,
139.264,1.045996428,139.264,-0.06790546328,
139.364,1.047107339,139.364,-0.06977246702,
139.464,1.047471285,139.464,-0.07132479548,
139.564,1.047515988,139.564,-0.072236076,
139.664,1.047812462,139.664,-0.07400716096,
139.764,1.048385859,139.764,-0.0757933259,
139.864,1.048637986,139.864,-0.0771336481,
139.964,1.048849821,139.964,-0.07757020742,
140.064,1.049529672,140.064,-0.0778651312,
140.164,1.050630689,140.164,-0.07762662321,
140.264,1.050434232,140.264,-0.07766462862,
140.364,1.044122696,140.364,-0.09051416814,
140.464,1.025776386,140.464,-0.1295850426,
140.564,0.9854908586,140.564,-0.1983495951,
140.664,0.9212824702,140.664,-0.2781361639,
140.764,0.8376268744,140.764,-0.3527752161,
140.864,0.7393265367,140.864,-0.4188156426,
140.964,0.6301609278,140.964,-0.4769859016,
141.064,0.513153255,141.064,-0.5292682648,
141.164,0.3933961689,141.164,-0.577393949,
141.264,0.27633816,141.264,-0.6216745377,
141.364,0.1649602801,141.364,-0.6605054736,
141.464,0.05846077204,141.464,-0.6940023899,
141.564,-0.04040534794,141.564,-0.723295331,
141.664,-0.1271585226,141.664,-0.7496215701,
141.764,-0.2007428855,141.764,-0.7729677558,
141.864,-0.2628757358,141.864,-0.7929696441,
141.964,-0.3119916618,141.964,-0.8102884889,
142.064,-0.3448575735,142.064,-0.8264942169,
142.164,-0.3614725173,142.164,-0.8418285847,
142.264,-0.3655394018,142.264,-0.8538069725,
142.364,-0.3577421904,142.364,-0.8624886274,
142.464,-0.3373284638,142.464,-0.8716323376,
142.564,-0.3066155016,142.564,-0.8811209202,
142.664,-0.2707172334,142.664,-0.8887723088,
142.764,-0.2316465527,142.764,-0.8944286108,
142.864,-0.1892633289,142.864,-0.9002812505,
142.964,-0.1459296197,142.964,-0.9069946408,
143.064,-0.1062408313,143.064,-0.9102618098,
143.164,-0.07118700445,143.164,-0.9141228795,
143.264,-0.03954173997,143.264,-0.9176374674,
143.364,-0.01240775827,143.364,-0.9207138419,
143.464,0.00749186147,143.464,-0.9215314388,
143.564,0.02085318416,143.564,-0.9200879931,
143.664,0.02995759249,143.664,-0.9200908542,
143.764,0.03469731659,143.764,-0.9214956164,
143.864,0.03331716359,143.864,-0.9226892591,
143.964,0.02742873318,143.964,-0.920912385,
144.064,0.02018674091,144.064,-0.9155648351,
144.164,0.01217280887,144.164,-0.9087513089,
144.264,0.003139047883,144.264,-0.9024672508,
144.364,-0.005896553397,144.364,-0.9009144306,
144.464,-0.01370863989,144.464,-0.9050530195,
144.564,-0.02043930255,144.564,-0.9115124941,
144.664,-0.02744307928,144.664,-0.9157113433,
144.764,-0.03397136927,144.764,-0.9173389077,
144.864,-0.03874196857,144.864,-0.9193422794,
144.964,-0.04184310138,144.964,-0.9219787717,
145.064,-0.04425457492,145.064,-0.9231603146,
145.164,-0.04580943286,145.164,-0.9233748913,
145.264,-0.04561160877,145.264,-0.925278604,
145.364,-0.04382291809,145.364,-0.9280775189,
145.464,-0.0423890315,145.464,-0.9284814,
