"vehicle_local_position_groundtruth->x_x","vehicle_local_position_groundtruth->x_y"
1256.336,4.970413208,
1256.34,4.970413208,
1256.436,4.970413208,
1256.536,4.970413208,
1256.636,4.970413208,
1256.736,4.970413208,
1256.836,4.970413208,
1256.936,4.970413208,
1257.036,4.970413208,
1257.136,4.970413208,
1257.236,4.970413208,
1257.336,4.970413208,
1257.436,4.970413208,
1257.536,4.970413208,
1257.636,4.970413208,
1257.736,4.970413208,
1257.836,4.970413208,
1257.936,4.970413208,
1258.036,4.970413208,
1258.136,4.970413208,
1258.236,4.970413208,
1258.336,4.970413208,
1258.436,4.970413208,
1258.536,4.970413208,
1258.636,4.970413208,
1258.736,4.970413208,
1258.836,4.970413208,
1258.936,4.970413208,
1259.036,4.970413208,
1259.136,4.948174,
1259.236,4.914815903,
1259.336,4.848098755,
1259.432,4.759142876,
1259.536,4.625709057,
1259.636,4.458916664,
1259.736,4.269885063,
1259.832,4.058614731,
1259.936,3.791747093,
1260.036,3.535998583,
1260.136,3.269130945,
1260.236,2.95778513,
1260.336,2.646439314,
1260.436,2.335093498,
1260.536,2.012628078,
1260.636,1.701282382,
1260.732,1.423295021,
1260.836,1.10082972,
1260.936,0.8117229939,
1261.036,0.5337356329,
1261.136,0.2668678164,
1261.236,0.02223898657,
1261.336,-0.222389847,
1261.436,-0.4447796941,
1261.536,-0.6449306011,
1261.636,-0.8339619637,
1261.736,-0.9896348715,
1261.836,-1.111949325,
1261.936,-1.200905204,
1262.036,-1.245383143,
1262.136,-1.245383143,
1262.232,-1.212024689,
1262.336,-1.134188294,
1262.436,-1.022993326,
1262.536,-0.8895593882,
1262.636,-0.7338865399,
1262.732,-0.5782136321,
1262.836,-0.4114212394,
1262.936,-0.2446288317,
1263.036,-0.1000754312,
1263.132,0.03335848078,
1263.236,0.1556728929,
1263.336,0.2557483315,
1263.436,0.3224653006,
1263.536,0.3780627549,
1263.636,0.4003017247,
1263.736,0.4114212394,
1263.836,0.4003017247,
1263.936,0.3780627549,
1264.036,0.3447042704,
1264.136,0.2891068161,
1264.236,0.2446288317,
1264.336,0.1890313774,
1264.436,0.1334339082,
1264.536,0.07783644646,
1264.636,0.03335848078,
1264.736,-0.01111949235,
1264.836,-0.04447796941,
1264.936,-0.06671695411,
1265.036,-0.07783644646,
1265.136,-0.08895593882,
1265.236,-0.08895593882,
1265.336,-0.08895593882,
1265.436,-0.07783644646,
1265.536,-0.05559746176,
1265.636,-0.04447796941,
1265.736,-0.02223898657,
1265.836,0,
1265.936,0.02223898657,
1266.036,0.04447796941,
1266.136,0.05559746549,
1266.236,0.07783644646,
1266.336,0.08895593882,
1266.436,0.08895593882,
1266.536,0.1000754312,
1266.636,0.1000754312,
1266.736,0.1000754312,
1266.836,0.1000754312,
1266.936,0.1000754312,
1267.036,0.1000754312,
1267.136,0.08895593882,
1267.236,0.08895593882,
1267.336,0.07783644646,
1267.436,0.07783644646,
1267.536,0.06671695411,
1267.636,0.06671695411,
1267.736,0.05559746549,
1267.836,0.05559746549,
1267.936,0.05559746549,
1268.036,0.05559746549,
1268.136,0.05559746549,
1268.236,0.04447796941,
1268.336,0.04447796941,
1268.436,0.04447796941,
1268.536,0.04447796941,
1268.636,0.04447796941,
1268.736,0.04447796941,
1268.836,0.04447796941,
1268.936,0.04447796941,
1269.036,0.04447796941,
1269.136,0.04447796941,
1269.236,0.04447796941,
1269.336,0.04447796941,
1269.436,0.04447796941,
1269.536,0.03335848078,
1269.636,0.03335848078,
1269.736,0.03335848078,
1269.836,0.03335848078,
1269.936,0.03335848078,
1270.036,0.03335848078,
1270.136,0.02223898657,
1270.236,0.02223898657,
1270.336,0.02223898657,
1270.436,0.02223898657,
1270.532,0.02223898657,
1270.632,0.02223898657,
1270.736,0.02223898657,
1270.836,0.02223898657,
1270.936,0.02223898657,
1271.036,0.02223898657,
1271.132,0.02223898657,
1271.236,0.02223898657,
1271.336,0.02223898657,
1271.432,0.02223898657,
1271.536,0.02223898657,
1271.636,0.02223898657,
1271.736,0.02223898657,
1271.836,0.02223898657,
1271.936,0.02223898657,
1272.036,0.04447796941,
1272.136,0.07783644646,
1272.236,0.1667923927,
1272.336,0.2779873312,
1272.436,0.4558992088,
1272.536,0.6782890558,
1272.636,0.9562763572,
1272.736,1.289861202,
1272.836,1.656804442,
1272.932,2.034867048,
1273.036,2.457407951,
1273.136,2.902187586,
1273.236,3.302489281,
1273.336,3.71391058,
1273.436,4.080853939,
1273.536,4.403318882,
1273.636,4.70354557,
1273.736,4.948174,
1273.836,5.137205601,
1273.936,5.281758785,
1274.036,5.381834507,
1274.136,5.426312447,
1274.236,5.437431812,
1274.336,5.404073238,
1274.436,5.348475933,
1274.536,5.27063942,
1274.636,5.18168354,
1274.736,5.070488453,
1274.836,4.970413208,
1274.936,4.870337963,
1275.036,4.781382084,
1275.136,4.70354557,
1275.236,4.636828423,
1275.336,4.592350483,
1275.436,4.558991909,
1275.536,4.536753178,
1275.636,4.536753178,
1275.736,4.536753178,
1275.836,4.558991909,
1275.936,4.592350483,
1276.036,4.625709057,
1276.136,4.670186996,
1276.236,4.714664936,
1276.336,4.759142876,
1276.436,4.803620815,
1276.536,4.836979389,
1276.636,4.870337963,
1276.736,4.90369606,
1276.836,4.925935268,
1276.936,4.948174,
1277.036,4.959293842,
1277.136,4.970413208,
1277.236,4.970413208,
1277.336,4.970413208,
1277.436,4.959293842,
1277.536,4.948174,
1277.636,4.937054634,
1277.736,4.937054634,
1277.836,4.925935268,
1277.936,4.914815903,
1278.036,4.90369606,
1278.136,4.892576694,
1278.236,4.892576694,
1278.336,4.892576694,
1278.436,4.892576694,
1278.536,4.892576694,
1278.636,4.892576694,
1278.736,4.892576694,
1278.836,4.892576694,
1278.936,4.90369606,
1279.036,4.914815903,
1279.136,4.914815903,
1279.236,4.925935268,
1279.336,4.925935268,
1279.436,4.937054634,
1279.536,4.937054634,
1279.636,4.948174,
1279.736,4.948174,
1279.836,4.948174,
1279.936,4.959293842,
1280.036,4.959293842,
1280.136,4.959293842,
1280.236,4.959293842,
1280.336,4.970413208,
1280.436,4.970413208,
1280.536,4.970413208,
1280.636,4.970413208,
1280.736,4.970413208,
1280.836,4.970413208,
1280.936,4.981532574,
1281.036,4.981532574,
1281.136,4.981532574,
1281.236,4.981532574,
1281.336,4.981532574,
1281.432,4.981532574,
1281.536,4.992652416,
1281.636,4.992652416,
1281.736,4.992652416,
1281.836,4.992652416,
1281.936,4.992652416,
1282.036,5.003771782,
1282.136,5.003771782,
1282.236,5.003771782,
1282.336,5.003771782,
1282.436,5.003771782,
1282.536,5.003771782,
1282.636,5.003771782,
1282.736,5.003771782,
1282.836,5.003771782,
1282.936,5.003771782,
1283.036,4.992652416,
1283.136,4.992652416,
1283.236,4.992652416,
1283.336,4.992652416,
1283.436,4.992652416,
1283.536,4.992652416,
1283.636,4.992652416,
1283.736,4.992652416,
1283.836,4.992652416,
1283.936,4.992652416,
1284.036,4.992652416,
1284.136,4.992652416,
1284.236,4.992652416,
1284.336,4.981532574,
1284.436,4.981532574,
1284.536,4.981532574,
1284.636,4.981532574,
1284.736,4.981532574,
1284.836,4.981532574,
1284.936,4.981532574,
1285.036,4.981532574,
1285.136,4.970413208,
1285.236,4.970413208,
1285.336,4.970413208,
1285.436,4.970413208,
1285.536,4.970413208,
1285.636,4.970413208,
1285.736,4.959293842,
1285.836,4.959293842,
1285.936,4.959293842,
1286.036,4.959293842,
1286.136,4.948174,
1286.236,4.948174,
1286.336,4.948174,
1286.436,4.948174,
1286.532,4.937054634,
1286.636,4.937054634,
1286.736,4.937054634,
1286.836,4.937054634,
1286.936,4.937054634,
1287.036,4.925935268,
1287.136,4.925935268,
