"vehicle_local_position_groundtruth->x_x","vehicle_local_position_groundtruth->x_y","vehicle_local_position_groundtruth->vx_x","vehicle_local_position_groundtruth->vx_y"
1492.408,4.959293842,1492.408,0,
1492.412,4.959293842,1492.412,0,
1492.508,4.959293842,1492.508,0,
1492.608,4.959293842,1492.608,0,
1492.708,4.959293842,1492.708,0,
1492.808,4.959293842,1492.808,0,
1492.908,4.959293842,1492.908,0,
1493.008,4.959293842,1493.008,0,
1493.108,4.959293842,1493.108,0,
1493.208,4.959293842,1493.208,0,
1493.308,4.959293842,1493.308,0,
1493.408,4.959293842,1493.408,0,
1493.508,4.959293842,1493.508,0,
1493.608,4.959293842,1493.608,0,
1493.708,4.959293842,1493.708,0,
1493.808,4.959293842,1493.808,0,
1493.908,4.959293842,1493.908,0,
1494.008,4.959293842,1494.008,0,
1494.108,4.959293842,1494.108,0,
1494.208,4.959293842,1494.208,0,
1494.308,4.959293842,1494.308,0,
1494.408,4.959293842,1494.408,0,
1494.504,4.959293842,1494.504,0,
1494.608,4.959293842,1494.608,0,
1494.708,4.959293842,1494.708,0,
1494.808,4.959293842,1494.808,0,
1494.908,4.959293842,1494.908,0,
1495.008,4.959293842,1495.008,0,
1495.108,4.959293842,1495.108,0,
1495.208,4.959293842,1495.208,0,
1495.308,4.959293842,1495.308,0,
1495.408,4.959293842,1495.408,0,
1495.508,4.959293842,1495.508,0,
1495.608,4.959293842,1495.608,0,
1495.708,4.959293842,1495.708,0,
1495.808,4.959293842,1495.808,0,
1495.908,4.959293842,1495.908,0,
1496.008,4.959293842,1496.008,0,
1496.108,4.959293842,1496.108,0,
1496.208,4.959293842,1496.208,0,
1496.308,4.959293842,1496.308,0,
1496.408,4.959293842,1496.408,0,
1496.508,4.959293842,1496.508,0,
1496.608,4.959293842,1496.608,0,
1496.704,4.959293842,1496.704,-0.009999999776,
1496.808,4.948174,1496.808,-0.09999999404,
1496.908,4.925935268,1496.908,-0.2899999917,
1497.008,4.892576694,1497.008,-0.4499999881,
1497.108,4.836979389,1497.108,-0.6200000048,
1497.208,4.759142876,1497.208,-0.9099999666,
1497.308,4.647947788,1497.308,-1.149999976,
1497.408,4.525633335,1497.408,-1.319999933,
1497.508,4.381080151,1497.508,-1.480000019,
1497.608,4.225407124,1497.608,-1.659999967,
1497.708,4.047495365,1497.708,-1.860000014,
1497.808,3.847344398,1497.808,-2.069999933,
1497.908,3.636074066,1497.908,-2.279999971,
1498.008,3.39144516,1498.008,-2.49000001,
1498.108,3.146816492,1498.108,-2.679999828,
1498.208,2.846590042,1498.208,-2.909999847,
1498.308,2.546363831,1498.308,-3.029999971,
1498.408,2.246137619,1498.408,-3.079999924,
1498.508,1.934791684,1498.508,-3.089999914,
1498.608,1.623445988,1498.608,-3.049999952,
1498.708,1.323219657,1498.708,-2.980000019,
1498.808,1.022993326,1498.808,-2.899999857,
1498.908,0.7450060248,1498.908,-2.789999962,
1499.008,0.4670186937,1499.008,-2.659999847,
1499.108,0.2112703621,1499.108,-2.529999971,
1499.208,-0.03335847706,1499.208,-2.379999876,
1499.308,-0.2668678164,1499.308,-2.210000038,
1499.408,-0.4781381786,1499.408,-1.899999976,
1499.508,-0.6449306011,1499.508,-1.549999952,
1499.608,-0.7894839644,1499.608,-1.319999933,
1499.708,-0.9117984176,1499.708,-1.029999971,
1499.808,-0.9896348715,1499.808,-0.6399999857,
1499.908,-1.034112811,1499.908,-0.2099999934,
1500.008,-1.034112811,1500.008,0.2099999934,
1500.108,-0.9896348715,1500.108,0.6100000143,
1500.208,-0.9117984176,1500.208,0.9599999785,
1500.308,-0.8006034493,1500.308,1.230000019,
1500.408,-0.6671695709,1500.408,1.429999948,
1500.508,-0.5114966631,1500.508,1.529999971,
1500.608,-0.36694327,1500.608,1.539999962,
1500.708,-0.2112703621,1500.708,1.480000019,
1500.808,-0.05559746176,1500.808,1.480000019,
1500.908,0.08895593882,1500.908,1.529999971,
1501.008,0.2446288317,1501.008,1.589999914,
1501.108,0.4114212394,1501.108,1.639999986,
1501.208,0.5782136321,1501.208,1.649999976,
1501.308,0.7338865399,1501.308,1.519999981,
1501.408,0.8784399033,1501.408,1.25999999,
1501.504,0.9896348715,1501.504,0.9799999595,
