pr1,pi1,pr2,pi2,pr3,pi3,pr4,pi4,pr5,pi5,pr6,pi6,pr7,pi7,pr8,pi8,pr9,pi9,pr10,pi10,pr11,pi11,pr12,pi12,pr13,pi13,clr1,cli1,clr2,cli2,clr3,cli3,clr4,cli4,clr5,cli5,clr6,cli6,clr7,cli7,clr8,cli8,clr9,cli9,clr10,cli10,clr11,cli11,clr12,cli12,clr13,cli13
0,0,0,0,-169.1194736,0,-161.6665057,0,-66.66667608,0,-66.66665725,0,-22.33976312,0,-15.1021257,5.686947345,-15.1021257,-5.686947345,-4.662936703e-15,3.323012498,-4.662936703e-15,-3.323012498,-4.01084873,0,-3.599328337,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-9.322460409e-05,0.009905678789,-9.322460409e-05,-0.009905678789,-169.1194736,0,-161.6661725,0,-66.66667387,0,-66.66665947,0,-22.33976312,0,-15.10218671,5.687368191,-15.10218671,-5.687368191,-1.312148326e-05,3.323010389,-1.312148326e-05,-3.323010389,-4.01084873,0,-3.599326885,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.0001424949238,0.01224640167,-0.0001424949238,-0.01224640167,-169.1194736,0,-161.6659963,0,-66.6666729,0,-66.66666043,0,-22.33976312,0,-15.10221896,5.687590613,-15.10221896,-5.687590613,-2.005633605e-05,3.323009275,-2.005633605e-05,-3.323009275,-4.01084873,0,-3.599326118,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.0002178038755,0.01514000673,-0.0002178038755,-0.01514000673,-169.1194736,0,-161.6657271,0,-66.66667188,0,-66.66666145,0,-22.33976312,0,-15.10226825,5.687930579,-15.10226825,-5.687930579,-3.065614427e-05,3.323007569,-3.065614427e-05,-3.323007569,-4.01084873,0,-3.599324945,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.0003329107221,0.01871687797,-0.0003329107221,-0.01871687797,-169.1194736,0,-161.6653156,0,-66.66667493,0,-66.66665841,0,-22.33976312,0,-15.10234361,5.688450203,-15.10234361,-5.688450203,-4.685751845e-05,3.323004961,-4.685751845e-05,-3.323004961,-4.01084873,0,-3.599323152,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.0005088429989,0.02313796263,-0.0005088429989,-0.02313796263,-169.1194736,0,-161.6646865,0,-66.66666856,0,-66.66666477,0,-22.33976312,0,-15.10245882,5.689244402,-15.10245882,-5.689244402,-7.162005384e-05,3.323000969,-7.162005384e-05,-3.323000969,-4.01084873,0,-3.599320412,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.0007777327921,0.02860177075,-0.0007777327921,-0.02860177075,-169.1194736,0,-161.663725,0,-66.66667853,0,-66.6666548,0,-22.33976312,0,-15.10263495,5.69045822,-15.10263495,-5.69045822,-0.0001094662429,3.322994855,-0.0001094662429,-3.322994855,-4.01084873,0,-3.599316223,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.001188673639,0.03535283025,-0.001188673639,-0.03535283025,-169.1194736,0,-161.6622552,0,-66.66666916,0,-66.66666418,0,-22.33976312,0,-15.10290425,5.69231325,-15.10290425,-5.69231325,-0.0001673057195,3.322985484,-0.0001673057195,-3.322985484,-4.01084873,0,-3.59930982,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.001816656712,0.04369176478,-0.001816656712,-0.04369176478,-169.1194736,0,-161.6600086,0,-66.66667398,0,-66.66665935,0,-22.33976312,0,-15.10331608,5.695147956,-15.10331608,-5.695147956,-0.0002556927245,3.322971096,-0.0002556927245,-3.322971096,-4.01084873,0,-3.599300031,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
-0.002776192086,0.05398704444,-0.002776192086,-0.05398704444,-169.1194736,0,-161.6565744,0,-66.66667682,0,-66.66665651,0,-22.33976312,0,-15.10394605,5.699479108,-15.10394605,-5.699479108,-0.0003907424867,3.322948958,-0.0003907424867,-3.322948958,-4.01084873,0,-3.599285065,0,-169.1194736,0,-159.8297357,0,-66.66666877,0,-66.66666456,0,-22.33976312,0,-15.51272609,7.753742474,-15.51272609,-7.753742474,-0.05727533725,3.292762153,-0.05727533725,-3.292762153,-4.01084873,0,-3.590788868,0,-0.4547790319,0.5210605747,-0.4547790319,-0.5210605747
