pr1,pi1,pr2,pi2,pr3,pi3,pr4,pi4,pr5,pi5,pr6,pi6,pr7,pi7,pr8,pi8,pr9,pi9,pr10,pi10,pr11,pi11,pr12,pi12
0,0,-169.119474,0,-161.666506,0,-66.6666714,0,-66.6666619,0,-22.3397631,0,-15.1021257,5.68694735,-15.1021257,-5.68694735,2.58126853e-15,3.3230125,2.58126853e-15,-3.3230125,-4.01084873,0,-3.59932834,0
-0.102041818,0,-169.119474,0,-161.671978,0,-66.6666723,0,-66.666661,0,-22.3397631,0,-15.0452418,5.61114349,-15.0452418,-5.61114349,-0.0058883287,3.32475117,-0.0058883287,-3.32475117,-4.01084873,0,-3.5938057,0
-0.135431847,0,-169.119474,0,-161.673743,0,-66.6666667,-3.25248254e-07,-66.6666667,3.25248254e-07,-22.3397631,0,-15.0266642,5.58619475,-15.0266642,-5.58619475,-0.00783205531,3.32524602,-0.00783205531,-3.32524602,-4.01084873,0,-3.59191824,0
-0.179966379,0,-169.119474,0,-161.676077,0,-66.6666667,-8.17013787e-06,-66.6666667,8.17013787e-06,-22.3397631,0,-15.0019187,5.55281318,-15.0019187,-5.55281318,-0.0104340278,3.32584869,-0.0104340278,-3.32584869,-4.01084873,0,-3.58933614,0
-0.239548974,0,-169.119474,0,-161.679165,0,-66.6666612,0,-66.6666721,0,-22.3397631,0,-14.9688776,5.50797025,-14.9688776,-5.50797025,-0.0139273251,3.32655211,-0.0139273251,-3.32655211,-4.01084873,0,-3.58576158,0
-0.319616665,0,-169.119474,0,-161.683248,0,-66.666659,0,-66.6666743,0,-22.3397631,0,-14.9246131,5.44740019,-14.9246131,-5.44740019,-0.0186318137,3.32731188,-0.0186318137,-3.32731188,-4.01084873,0,-3.58073063,0
-0.427908355,0,-169.119474,0,-161.688648,0,-66.6666589,0,-66.6666745,0,-22.3397631,0,-14.8650387,5.36496091,-14.8650387,-5.36496091,-0.0249846975,3.32800348,-0.0249846975,-3.32800348,-4.01084873,0,-3.57348187,0
-0.575805761,0,-169.119474,0,-161.69579,0,-66.6666648,0,-66.6666685,0,-22.3397631,0,-14.7843355,5.25153391,-14.7843355,-5.25153391,-0.0335728154,3.32833853,-0.0335728154,-3.32833853,-4.01084873,0,-3.56267358,0
-0.780921462,0,-169.119474,0,-161.705233,0,-66.6666667,-4.57394632e-06,-66.6666667,4.57394632e-06,-22.3397631,0,-14.6739744,5.09298032,-14.6739744,-5.09298032,-0.0451443615,3.32770478,-0.0451443615,-3.32770478,-4.01084873,0,-3.54569368,0
-1.072862,0,-169.119474,0,-161.717719,0,-66.6666562,0,-66.6666771,0,-22.3397631,0,-14.5209072,4.86593204,-14.5209072,-4.86593204,-0.0605261226,3.32487813,-0.0605261226,-3.32487813,-4.01084873,0,-3.5166377,0
-1.50949258,0,-169.119474,0,-161.734228,0,-66.6666565,0,-66.6666768,0,-22.3397631,0,-14.3037949,4.52775819,-14.3037949,-4.52775819,-0.0802388457,3.31758082,-0.0802388457,-3.31758082,-4.01084873,0,-3.45829706,0
-2.2627516,0,-169.119474,0,-161.756053,0,-66.666658,0,-66.6666753,0,-22.3397631,0,-13.9836367,3.98646873,-13.9836367,-3.98646873,-0.103355003,3.30213028,-0.103355003,-3.30213028,-4.01084873,0,-3.27729702,0
-2.84201365,0,-169.119474,0,-161.764523,0,-66.6666654,0,-66.6666679,0,-22.3397631,0,-13.8461799,3.73427723,-13.8461799,-3.73427723,-0.110944642,3.29465663,-0.110944642,-3.29465663,-4.01084873,0,-2.94930002,0
-2.8971681,-6.52574987e-07,-169.119474,0,-161.764621,0,-66.6666598,0,-66.6666736,0,-22.3397631,0,-13.8445371,3.73117692,-13.8445371,-3.73117692,-0.111027117,3.29456624,-0.111027117,-3.29456624,-4.01084873,0,-2.8971681,6.52574987e-07
-2.89868076,-0.0536272762,-169.119474,0,-161.764719,0,-66.6666635,0,-66.6666699,0,-22.3397631,0,-13.8428931,3.72807205,-13.8428931,-3.72807205,-0.111109464,3.29447578,-0.111109464,-3.29447578,-4.01084873,0,-2.89868076,0.0536272762
-3.24498996,-0.739622633,-169.119474,0,-161.784902,0,-66.6666597,0,-66.6666736,0,-22.3397631,0,-13.4723695,2.959882,-13.4723695,-2.959882,-0.125232314,3.27447043,-0.125232314,-3.27447043,-4.01084873,0,-3.24498996,0.739622633
-3.52947176,-0.908643501,-169.119474,0,-161.798442,0,-66.666661,0,-66.6666723,0,-22.3397631,0,-13.1749116,2.18363205,-13.1749116,-2.18363205,-0.131438615,3.26024134,-0.131438615,-3.26024134,-4.01084873,0,-3.52947176,0.908643501
