timestamp,device_id,raw_data[0],raw_data[1],raw_data[2],raw_data[3],raw_data[4],raw_data[5],raw_data[6],raw_data[7],raw_data[8],raw_data[9],raw_data[10],raw_data[11],resolution,v_ref,channel_id[0],channel_id[1],channel_id[2],channel_id[3],channel_id[4],channel_id[5],channel_id[6],channel_id[7],channel_id[8],channel_id[9],channel_id[10],channel_id[11]
1838259,4294967295,1141,10,714,634,1280,1259,3218,2067,4038,3147,1975,1533,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1848174,4294967295,1129,11,715,644,1280,1252,3255,2066,4040,3152,1987,1557,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
1938147,4294967295,1133,10,715,644,1279,1225,3230,2082,4038,3145,1974,1522,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2048148,4294967295,1134,10,715,642,1280,1265,3251,2066,4040,3150,1975,1542,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2148151,4294967295,1135,9,714,640,1280,1273,3261,2068,4039,3152,1959,1540,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2248151,4294967295,1134,10,715,646,1280,1288,3254,2068,4038,3152,1920,1486,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2348231,4294967295,1122,18,722,649,1277,1265,3256,2067,4037,3150,1950,1507,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2438154,4294967295,1134,25,718,649,1277,1274,3252,2082,4040,3150,1933,1490,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2548152,4294967295,1135,25,721,652,1267,1258,3257,2067,4039,3148,1649,1266,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2638155,4294967295,1132,24,720,646,1261,1271,3237,2082,4040,3152,1678,1249,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2748178,4294967295,1133,10,716,643,1262,1246,3258,2080,4038,3154,1682,1269,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2848163,4294967295,1136,9,715,640,1261,1295,3255,2068,4041,3151,1668,1247,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
2948194,4294967295,1127,52,717,651,1260,1305,3244,2085,4040,3149,1668,1270,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
3048214,4294967295,1133,34,719,659,1263,1213,3258,2071,4040,3150,1682,1276,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
3138148,4294967295,1132,34,720,648,1261,1275,3256,2068,4040,3153,1668,1283,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
3248229,4294967295,1114,45,727,656,1261,1280,3256,2082,4038,3148,1668,1241,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
3338264,4294967295,1131,38,720,643,1261,1271,3260,2064,4041,3147,1666,1275,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
3448238,4294967295,1132,11,717,650,1261,1275,3244,2082,4041,3151,1668,1253,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
3548304,4294967295,1134,10,714,636,1261,1230,3250,2067,4042,3151,1668,1269,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
3648154,4294967295,1133,9,715,643,1262,1286,3231,2082,4040,3147,1668,1284,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
3748171,4294967295,1133,11,716,651,1261,1252,3252,2083,4038,3150,1669,1273,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
