timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1838378,5.1852536,3.3306153,1,0,1,0,1,0,0
1848338,5.244873,3.3290038,1,0,1,0,1,0,0
1858247,5.15625,3.349951,1,0,1,0,1,0,0
1868225,5.235205,3.3338377,1,0,1,0,1,0,0
1878210,5.182031,3.3354492,1,0,1,0,1,0,0
1888200,5.2142577,3.3273926,1,0,1,0,1,0,0
1898216,5.243262,3.3306153,1,0,1,0,1,0,0
1908200,5.1498046,3.3547852,1,0,1,0,1,0,0
1918199,5.240039,3.338672,1,0,1,0,1,0,0
1928227,5.1997557,3.3547852,1,0,1,0,1,0,0
1938197,5.20459,3.3547852,1,0,1,0,1,0,0
1948201,5.24165,3.3563964,1,0,1,0,1,0,0
1958200,5.1739745,3.3322265,1,0,1,0,1,0,0
1968240,5.2513185,3.3322265,1,0,1,0,1,0,0
1978235,5.1868653,3.3290038,1,0,1,0,1,0,0
1988269,5.18042,3.3322265,1,0,1,0,1,0,0
1998233,5.2384276,3.3290038,1,0,1,0,1,0,0
2008214,5.1723633,3.3290038,1,0,1,0,1,0,0
2018201,5.2464843,3.3354492,1,0,1,0,1,0,0
2028211,5.2142577,3.3322265,1,0,1,0,1,0,0
2038201,5.235205,3.3306153,1,0,1,0,1,0,0
2048200,5.2384276,3.3290038,1,0,1,0,1,0,0
2058220,5.215869,3.3515625,1,0,1,0,1,0,0
2068214,5.2480955,3.3306153,1,0,1,0,1,0,0
2078256,5.240039,3.3547852,1,0,1,0,1,0,0
2088234,5.244873,3.3290038,1,0,1,0,1,0,0
2098212,5.2497067,3.3273926,1,0,1,0,1,0,0
2108228,5.2497067,3.3354492,1,0,1,0,1,0,0
2118207,5.2464843,3.3306153,1,0,1,0,1,0,0
2128235,5.2529297,3.3354492,1,0,1,0,1,0,0
2138201,5.2513185,3.3547852,1,0,1,0,1,0,0
2148211,5.254541,3.3322265,1,0,1,0,1,0,0
2158217,5.2529297,3.3338377,1,0,1,0,1,0,0
2168230,5.244873,3.3563964,1,0,1,0,1,0,0
2178326,5.244873,3.3306153,1,0,1,0,1,0,0
2188265,5.24165,3.3612304,1,0,1,0,1,0,0
2198233,5.2368164,3.3596191,1,0,1,0,1,0,0
2208199,5.2513185,3.3306153,1,0,1,0,1,0,0
2218201,5.2384276,3.3547852,1,0,1,0,1,0,0
2228249,5.24165,3.3322265,1,0,1,0,1,0,0
2238201,5.240039,3.3273926,1,0,1,0,1,0,0
2248208,5.243262,3.3322265,1,0,1,0,1,0,0
2258232,5.2142577,3.3531737,1,0,1,0,1,0,0
2268200,5.2513185,3.3290038,1,0,1,0,1,0,0
2278240,5.2497067,3.3273926,1,0,1,0,1,0,0
2288209,5.2577634,3.3563964,1,0,1,0,1,0,0
2298201,5.2464843,3.3370605,1,0,1,0,1,0,0
2308272,5.2464843,3.3580077,1,0,1,0,1,0,0
2318323,5.2513185,3.3306153,1,0,1,0,1,0,0
2328342,5.2464843,3.3322265,1,0,1,0,1,0,0
2338261,5.2464843,3.3547852,1,0,1,0,1,0,0
2348283,5.2464843,3.3306153,1,0,1,0,1,0,0
2358311,5.244873,3.3290038,1,0,1,0,1,0,0
2368220,5.24165,3.3306153,1,0,1,0,1,0,0
2378240,5.24165,3.3306153,1,0,1,0,1,0,0
2388247,5.2464843,3.325781,1,0,1,0,1,0,0
2398201,5.2368164,3.3580077,1,0,1,0,1,0,0
2408211,5.240039,3.3322265,1,0,1,0,1,0,0
2418201,5.24165,3.3322265,1,0,1,0,1,0,0
2428201,5.243262,3.3596191,1,0,1,0,1,0,0
2438235,5.240039,3.3547852,1,0,1,0,1,0,0
2448258,5.2480955,3.3612304,1,0,1,0,1,0,0
2458214,5.24165,3.3273926,1,0,1,0,1,0,0
2468269,5.243262,3.3306153,1,0,1,0,1,0,0
2478241,5.2480955,3.3306153,1,0,1,0,1,0,0
2488251,5.230371,3.3531737,1,0,1,0,1,0,0
2498220,5.2480955,3.3563964,1,0,1,0,1,0,0
2508220,5.256152,3.3306153,1,0,1,0,1,0,0
2518232,5.2480955,3.3306153,1,0,1,0,1,0,0
2528256,5.2513185,3.3273926,1,0,1,0,1,0,0
2538201,5.256152,3.3290038,1,0,1,0,1,0,0
2548210,5.2480955,3.3306153,1,0,1,0,1,0,0
2558208,5.2497067,3.3290038,1,0,1,0,1,0,0
2568207,5.24165,3.3290038,1,0,1,0,1,0,0
2578202,5.244873,3.3531737,1,0,1,0,1,0,0
2588201,5.243262,3.3338377,1,0,1,0,1,0,0
2598257,5.243262,3.3322265,1,0,1,0,1,0,0
2608272,5.219092,3.3547852,1,0,1,0,1,0,0
2618337,5.20459,3.3354492,1,0,1,0,1,0,0
2628207,5.2110353,3.3290038,1,0,1,0,1,0,0
2638214,5.215869,3.3547852,1,0,1,0,1,0,0
2648211,5.21748,3.3322265,1,0,1,0,1,0,0
2658224,5.24165,3.3290038,1,0,1,0,1,0,0
2668226,5.243262,3.3596191,1,0,1,0,1,0,0
2678201,5.2497067,3.3515625,1,0,1,0,1,0,0
2688222,5.256152,3.3547852,1,0,1,0,1,0,0
2698210,5.243262,3.3580077,1,0,1,0,1,0,0
2708234,5.2464843,3.3547852,1,0,1,0,1,0,0
2718240,5.225537,3.3547852,1,0,1,0,1,0,0
2728199,5.2464843,3.3290038,1,0,1,0,1,0,0
2738243,5.244873,3.3483398,1,0,1,0,1,0,0
2748266,5.2497067,3.3515625,1,0,1,0,1,0,0
2758200,5.2513185,3.3290038,1,0,1,0,1,0,0
2768201,5.2497067,3.3306153,1,0,1,0,1,0,0
2778200,5.254541,3.3290038,1,0,1,0,1,0,0
2788200,5.244873,3.3306153,1,0,1,0,1,0,0
2798318,5.2464843,3.3322265,1,0,1,0,1,0,0
2808309,5.2480955,3.3531737,1,0,1,0,1,0,0
2818282,5.2577634,3.3515625,1,0,1,0,1,0,0
2828262,5.254541,3.3306153,1,0,1,0,1,0,0
2838241,5.2464843,3.3322265,1,0,1,0,1,0,0
2848221,5.244873,3.3322265,1,0,1,0,1,0,0
2858223,5.240039,3.3290038,1,0,1,0,1,0,0
2868214,5.254541,3.3370605,1,0,1,0,1,0,0
2878300,5.244873,3.3547852,1,0,1,0,1,0,0
2888266,5.2513185,3.3322265,1,0,1,0,1,0,0
2898252,5.2513185,3.3306153,1,0,1,0,1,0,0
2908245,5.2480955,3.3580077,1,0,1,0,1,0,0
2918245,5.2464843,3.3290038,1,0,1,0,1,0,0
2928290,5.259375,3.3322265,1,0,1,0,1,0,0
2938245,5.2480955,3.3547852,1,0,1,0,1,0,0
2948253,5.2271485,3.3596191,1,0,1,0,1,0,0
2958249,5.256152,3.3322265,1,0,1,0,1,0,0
2968217,5.2497067,3.3547852,1,0,1,0,1,0,0
2978240,5.2513185,3.3290038,1,0,1,0,1,0,0
2988201,5.2577634,3.3306153,1,0,1,0,1,0,0
2998200,5.244873,3.3322265,1,0,1,0,1,0,0
3008222,5.2464843,3.3547852,1,0,1,0,1,0,0
3018290,5.244873,3.3306153,1,0,1,0,1,0,0
3028256,5.2464843,3.3580077,1,0,1,0,1,0,0
3038267,5.244873,3.3563964,1,0,1,0,1,0,0
3048269,5.2497067,3.3370605,1,0,1,0,1,0,0
3058257,5.243262,3.3322265,1,0,1,0,1,0,0
3068303,5.219092,3.3547852,1,0,1,0,1,0,0
3078242,5.244873,3.3322265,1,0,1,0,1,0,0
3088239,5.243262,3.3273926,1,0,1,0,1,0,0
3098222,5.2464843,3.3273926,1,0,1,0,1,0,0
3108220,5.2497067,3.3547852,1,0,1,0,1,0,0
3118199,5.2529297,3.3290038,1,0,1,0,1,0,0
3128210,5.2513185,3.3290038,1,0,1,0,1,0,0
3138200,5.2464843,3.3322265,1,0,1,0,1,0,0
3148200,5.24165,3.3547852,1,0,1,0,1,0,0
3158279,5.24165,3.3290038,1,0,1,0,1,0,0
3168235,5.2513185,3.3306153,1,0,1,0,1,0,0
3178211,5.2142577,3.3322265,1,0,1,0,1,0,0
3188241,5.256152,3.3273926,1,0,1,0,1,0,0
3198264,5.2513185,3.3306153,1,0,1,0,1,0,0
3208227,5.2464843,3.3370605,1,0,1,0,1,0,0
3218220,5.2384276,3.3322265,1,0,1,0,1,0,0
3228254,5.2480955,3.3322265,1,0,1,0,1,0,0
3238254,5.230371,3.3273926,1,0,1,0,1,0,0
3248432,5.2464843,3.3547852,1,0,1,0,1,0,0
3258401,5.230371,3.3338377,1,0,1,0,1,0,0
3268253,5.2497067,3.3596191,1,0,1,0,1,0,0
3278366,5.2368164,3.3580077,1,0,1,0,1,0,0
3288378,5.230371,3.3322265,1,0,1,0,1,0,0
3298362,5.206201,3.3322265,1,0,1,0,1,0,0
3308342,5.2384276,3.3322265,1,0,1,0,1,0,0
3318321,5.2480955,3.3273926,1,0,1,0,1,0,0
3328318,5.2513185,3.3322265,1,0,1,0,1,0,0
3338316,5.2529297,3.325781,1,0,1,0,1,0,0
