timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
10268368,0.998629,-0.02417028,-0.046430785,-0.00044184085,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
10273417,0.9986291,-0.02417079,-0.046428435,-0.00044142554,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
10368377,0.9986295,-0.024154859,-0.0464266,-0.00034812264,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
10468388,0.9986296,-0.024135562,-0.04643555,-0.00032684515,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
10568411,0.9986308,-0.024113374,-0.046421647,-0.00040587343,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
10668409,0.9986309,-0.024118813,-0.046416324,-0.00053637207,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
10768420,0.9986305,-0.024122072,-0.046421375,-0.0005856232,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
10868430,0.9986305,-0.024116402,-0.04642309,-0.0006310993,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
10968441,0.99863094,-0.024118163,-0.0464134,-0.00075149426,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
11068451,0.998631,-0.024130477,-0.04639958,-0.0009897425,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
11168462,0.9986311,-0.024139114,-0.046388306,-0.0012351151,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
11268473,0.99863094,-0.02413589,-0.046389684,-0.0013747386,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
11368483,0.9986312,-0.024135927,-0.046377398,-0.0015901418,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
11468513,0.99863154,-0.024132881,-0.046362482,-0.0018247191,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
11568504,0.9986313,-0.024128877,-0.046356898,-0.002087994,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
11668515,0.99863154,-0.024126753,-0.046346966,-0.0022627292,0.99999917,-1.3342466e-09,-3.0339113e-09,-0.0013396562,2
