timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1841252,0.07952839,-0.030181384,-0.208877
1852438,0.07952839,-0.02722667,-0.21186301
1875755,0.07952839,-0.030181384,-0.205891
1909279,0.07952839,-0.02722667,-0.208877
1942862,0.07645985,-0.030181384,-0.205891
1976591,0.07952839,-0.030181384,-0.21186301
2010372,0.07952839,-0.02722667,-0.21783501
2032856,0.07952839,-0.030181384,-0.21186301
2077857,0.08566548,-0.030181384,-0.205891
2100348,0.08259694,-0.030181384,-0.20290501
2134103,0.08873403,-0.02722667,-0.19991902
2167862,0.091802575,-0.02427195,-0.205891
2212849,0.09487112,-0.021317236,-0.205891
2235417,0.09487112,-0.021317236,-0.20290501
2269116,0.09487112,-0.018362517,-0.196933
2302862,0.091802575,-0.018362517,-0.196933
2336614,0.091802575,-0.015407802,-0.196933
2370394,0.091802575,-0.015407802,-0.19991902
2404150,0.091802575,-0.015407802,-0.196933
2437879,0.08873403,-0.015407802,-0.205891
2471631,0.091802575,-0.015407802,-0.20290501
2494158,0.08873403,-0.018362517,-0.20290501
2527902,0.08566548,-0.02427195,-0.20290501
2572945,0.07952839,-0.0331361,-0.19991902
2606694,0.08259694,-0.0331361,-0.208877
2629200,0.07952839,-0.0331361,-0.20290501
2662949,0.08566548,-0.0331361,-0.208877
2696675,0.08873403,-0.0331361,-0.20290501
2730466,0.08566548,-0.036090814,-0.205891
2764180,0.08259694,-0.0331361,-0.205891
2797976,0.08259694,-0.0331361,-0.205891
2831715,0.08566548,-0.030181384,-0.205891
2865486,0.08566548,-0.0331361,-0.208877
2899659,0.08259694,-0.0331361,-0.20290501
2922026,0.08259694,-0.0331361,-0.20290501
2966724,0.08259694,-0.0331361,-0.208877
3000477,0.07952839,-0.0331361,-0.21186301
3022957,0.08259694,-0.030181384,-0.20290501
3068018,0.07952839,-0.0331361,-0.208877
3090434,0.07952839,-0.0331361,-0.205891
3124190,0.07952839,-0.0331361,-0.205891
3158527,0.07952839,-0.0331361,-0.205891
3191990,0.07645985,-0.0331361,-0.205891
3225480,0.07952839,-0.0331361,-0.21186301
3259266,0.07645985,-0.0331361,-0.21186301
3293839,0.07952839,-0.0331361,-0.205891
3327610,0.07645985,-0.0331361,-0.21186301
3361341,0.07952839,-0.0331361,-0.208877
3395175,0.07952839,-0.0331361,-0.21484901
3417570,0.07645985,-0.0331361,-0.21186301
3462620,0.07645985,-0.0331361,-0.208877
3485104,0.07645985,-0.0331361,-0.21186301
3519294,0.07645985,-0.0331361,-0.205891
3553058,0.0733913,-0.036090814,-0.208877
3597995,0.07645985,-0.0331361,-0.205891
3620557,0.0733913,-0.0331361,-0.205891
3654313,0.07645985,-0.0331361,-0.208877
3688662,0.07645985,-0.0331361,-0.205891
3722102,0.0733913,-0.0331361,-0.205891
3755582,0.0733913,-0.0331361,-0.208877
3789340,0.07645985,-0.0331361,-0.21484901
3823082,0.07645985,-0.0331361,-0.208877
3856771,0.07952839,-0.0331361,-0.208877
3890525,0.07645985,-0.0331361,-0.208877
3924282,0.07645985,-0.0331361,-0.208877
3947383,0.07645985,-0.0331361,-0.205891
3992005,0.07952839,-0.0331361,-0.21186301
4014292,0.07645985,-0.0331361,-0.21186301
4048063,0.07645985,-0.0331361,-0.205891
4081810,0.07645985,-0.0331361,-0.208877
4115586,0.07645985,-0.0331361,-0.205891
4149312,0.07645985,-0.0331361,-0.205891
4183054,0.07952839,-0.0331361,-0.208877
4217321,0.07952839,-0.0331361,-0.21186301
4250839,0.07645985,-0.0331361,-0.20290501
4284380,0.07952839,-0.0331361,-0.20290501
4318068,0.07952839,-0.0331361,-0.205891
4351821,0.07645985,-0.036090814,-0.208877
4385567,0.07645985,-0.0331361,-0.205891
4408127,0.07952839,-0.0331361,-0.205891
4453142,0.07645985,-0.0331361,-0.205891
4487101,0.07952839,-0.0331361,-0.20290501
4520619,0.07952839,-0.0331361,-0.20290501
4543104,0.07645985,-0.0331361,-0.205891
4576894,0.07952839,-0.0331361,-0.208877
