timestamp,nav_state_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,failure_detector_status,latest_arming_reason,latest_disarming_reason
1417375,1413023,917551,2162703,917543,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1946288,1946283,302972975,304152623,302972975,15,1,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2518955,1946283,302972975,304152591,302972975,15,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3538480,1946283,302972975,304152623,302972975,15,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4549971,1946283,302972975,304152623,302972975,15,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5560086,1946283,305070127,304152623,305070095,15,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6580003,1946283,305070127,304152623,305070095,15,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7600004,1946283,305070127,304152623,305070095,15,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8620082,1946283,305070127,304152623,305070095,15,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9640120,1946283,305070127,304152623,305070095,15,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10766034,10265375,305070127,304152623,305070095,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11777981,10265375,305070127,304152623,305070095,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12789979,10265375,305070127,304152623,305070095,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13792012,10265375,305070127,304152623,305070095,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14796011,10265375,305070127,304152623,305070095,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15720028,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16729045,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17748981,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18768981,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19780265,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20791277,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21793978,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22810426,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23814982,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24825018,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25846271,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26866521,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27877100,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28888044,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29897997,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30908979,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31922979,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32928095,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33940279,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34961057,15720023,305070127,304152623,305070127,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35875322,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
36888131,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
37900982,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
38915009,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
39929984,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
40952493,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
41967037,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
42980029,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
43995041,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
44503019,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
45518983,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
46535054,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
47555101,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
48566054,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
49589437,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
50599077,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
51613094,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
52629981,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
53642980,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
54652050,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
55665984,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
56681981,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
57697981,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
58705982,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
59718456,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
60730780,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
61743015,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
62757276,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
63772101,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
64785246,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
65922042,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
66941980,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
67959100,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
68974260,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
69985980,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
70999019,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
71507003,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
72519021,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
73533063,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
74546986,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
75564982,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
76582980,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
77596020,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
78611130,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
79624152,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
80636128,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
81649980,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
82665980,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
83679118,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
84694982,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
85714982,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
86735043,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
87746290,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
88760044,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
89772011,15720023,305070127,304152591,305070127,2,2,0,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
