timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
153253236,153251935,0.15695876,0.0012643673,0.49301735,22.347834,0.0012084994,4.978751,0
153273221,153271934,0.15412167,0.0006336083,0.35606238,9.935152,0.001417866,4.9542556,0
153293166,153291935,0.15963675,0.0003978576,-1.0089246,7.8899646,0.014335071,4.9278216,0
153313270,153311943,0.15845686,0.00029629053,0.30115366,6.61714,0.0015228721,4.8918767,0
153333004,153331933,0.16141036,0.00023138206,-0.9174984,6.264277,0.014931284,4.859308,0
153353004,153351935,0.16715999,0.00018912247,-2.1564367,5.945253,0.08690816,4.8502464,0
153373706,153371933,0.16601834,0.00016251353,0.5257698,5.6445446,0.0054415157,4.8111696,0
153393264,153391933,0.17061752,0.0001407929,-2.325312,5.553578,0.10818002,4.8081384,0
153413647,153411978,0.17228705,0.0001249147,-0.97522014,5.4195046,0.01949859,4.7720447,0
153433162,153431953,0.17265819,0.0001122055,-0.2399149,5.312773,0.0012037896,4.72985,0
153453285,153451930,0.17467749,0.000101885336,-1.4342893,5.209177,0.043879528,4.7017,0
153473152,153471930,0.17498374,9.33056e-05,-0.23684084,5.134288,0.0012139211,4.6592,0
153493127,153491931,0.17619424,8.6092106e-05,-1.0124686,5.0498557,0.022554938,4.6232243,0
153513031,153511927,0.17677815,7.982289e-05,-0.5205654,4.9866176,0.0060381233,4.582053,0
153532953,153531927,0.17626466,7.456485e-05,0.49574828,4.9054694,0.00556672,4.5429797,0
153553019,153551926,0.17717943,6.984473e-05,-0.92680997,4.85032,0.019677436,4.5062594,0
153573656,153571924,0.17698334,6.568924e-05,0.21043313,4.791668,0.0010268311,4.4653234,0
153593296,153591927,0.17646562,6.211355e-05,0.5945858,4.7227383,0.008317497,4.4279823,0
153613119,153611922,0.17775857,5.871456e-05,-1.5168037,4.6846957,0.0545676,4.4032516,0
153633098,153631922,0.17867957,5.5661687e-05,-1.1351343,4.645152,0.03082138,4.3703494,0
153653256,153651921,0.17979856,5.281395e-05,-1.4219279,4.606413,0.048769664,4.3429008,0
153673125,153671932,0.18085226,5.0270362e-05,-1.4099255,4.5630755,0.04840521,4.314875,0
153692970,153691920,0.18238103,4.7864643e-05,-2.0961483,4.532195,0.10771914,4.3049145,0
153713091,153711920,0.1843858,4.5619996e-05,-2.8408036,4.517202,0.19850454,4.3225107,0
153732978,153731918,0.1853617,4.360741e-05,-1.4610789,4.5225,0.052447677,4.2933955,0
153752956,153751918,0.18701953,4.1739662e-05,-2.565848,4.486029,0.16306369,4.2967396,0
153773356,153771917,0.18845956,4.0017472e-05,-2.3197796,4.4821906,0.13340148,4.2894726,0
153783700,153781917,0.18971814,3.8451784e-05,-2.1235695,4.4644113,0.11223446,4.2823462,0
153813201,153811911,0.19113956,3.6974026e-05,-2.4615808,4.454369,0.15114698,4.275355,0
153833204,153831915,0.19198151,3.5626977e-05,-1.5253282,4.437606,0.058255285,4.244302,0
153853119,153851915,0.19268931,3.4394005e-05,-1.3339424,4.3970704,0.04496434,4.209976,0
153873023,153871914,0.19346368,3.3249013e-05,-1.5070325,4.3555875,0.057937,4.1785097,0
153892971,153891951,0.19417466,3.2188367e-05,-1.4309839,4.316847,0.052706033,4.1456456,0
153913040,153911914,0.19483313,3.1197393e-05,-1.3646746,4.277994,0.048369937,4.111909,0
153933032,153931912,0.1955659,3.026743e-05,-1.5602691,4.238926,0.06381176,4.081339,0
153953295,153951911,0.19612251,2.9398248e-05,-1.2204584,4.202701,0.03937993,4.045765,0
153973895,153971910,0.1964207,2.8587387e-05,-0.6734352,4.1612277,0.01210954,4.0068793,0
153993110,153991910,0.1969464,2.7820339e-05,-1.2141328,4.118075,0.039773665,3.9717407,0
154013124,154011909,0.19791695,2.7072387e-05,-2.259871,4.0822053,0.13900484,3.958116,0
154033049,154031908,0.19870768,2.6379368e-05,-1.9077171,4.062851,0.09953012,3.9345021,0
154052934,154051908,0.19925436,2.5744726e-05,-1.3725705,4.032257,0.0519133,3.9010677,0
154073027,154071953,0.19954003,2.5169085e-05,-0.74895096,3.9910657,0.0156162,3.8632805,0
154092968,154091906,0.19992746,2.4636853e-05,-1.0502276,3.9475214,0.031045586,3.8272119,0
154113004,154111906,0.20047982,2.4129871e-05,-1.5261307,3.9084167,0.06621251,3.7966053,0
154133274,154131905,0.20042562,2.3663775e-05,0.15537536,3.8721879,0.0006927322,3.7664118,0
154153078,154151904,0.20070054,2.3230497e-05,-0.8134853,3.8374708,0.019160721,3.729975,0
154173807,154171904,0.20122315,2.2804066e-05,-1.5511161,3.8005426,0.0703397,3.700637,0
154193112,154191903,0.20128392,2.2403789e-05,-0.18529952,3.7675805,0.0010126131,3.6670783,0
154213041,154211902,0.20187613,2.2014807e-05,-1.8228667,3.732705,0.09891078,3.6432126,0
154233010,154231902,0.20218441,2.1633256e-05,-0.9548439,3.7083108,0.027317824,3.608318,0
154252920,154251901,0.20224614,2.1277534e-05,-0.19688886,3.6694903,0.0011737999,3.5756662,0
154272986,154271900,0.20286955,2.0924113e-05,-1.9858184,3.636916,0.12047677,3.555938,0
154292959,154291900,0.20301765,2.0583115e-05,-0.47876275,3.615713,0.007043755,3.5218961,0
154313590,154311899,0.20323363,2.0258112e-05,-0.71129036,3.5792677,0.015705695,3.4875882,0
154333131,154331898,0.2038227,1.9933703e-05,-1.9325169,3.5452216,0.11704712,3.4670477,0
154353179,154351901,0.20435867,1.9612593e-05,-1.7620454,3.5246964,0.0978746,3.4427316,0
154373746,154371904,0.20506604,1.929246e-05,-2.321135,3.5007515,0.17100035,3.4313872,0
154393114,154391896,0.20506604,1.9297458e-05,-9.425603,3.4976254,2.8222954,4.108133,0
154413000,154411931,0.20495583,1.899565e-05,0.4065323,4.1744876,0.004398903,4.0855503,0
