timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
235503521,0.998826,-0.018010965,0.0033233531,0.044847507,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235508524,0.9988259,-0.018011747,0.003321626,0.044847704,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235513518,0.9988261,-0.01800899,0.0033187424,0.0448452,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235518522,0.9988261,-0.018006831,0.0033211063,0.044845905,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235523518,0.9988263,-0.018006507,0.0033231748,0.044842567,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235528517,0.99882627,-0.018006457,0.0033237743,0.04484173,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235533516,0.99882644,-0.018006088,0.0033219228,0.044839814,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235538516,0.99882644,-0.018005164,0.0033193212,0.04484029,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235543515,0.99882644,-0.018008305,0.0033180406,0.044838693,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235548560,0.99882644,-0.018008796,0.0033208579,0.04483802,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235553514,0.9988267,-0.018005911,0.0033208283,0.0448335,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235558559,0.99882674,-0.0180064,0.003319236,0.04483182,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235563547,0.998827,-0.018003948,0.0033206264,0.044828333,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235568547,0.99882823,-0.018007051,0.003317941,0.044799518,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235573526,0.9988288,-0.018007176,0.0033187596,0.04478604,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235578514,0.9988293,-0.017999474,0.0033267841,0.044777416,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235583510,0.9988255,-0.018005254,0.0033208847,0.0448605,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235588510,0.99882114,-0.018016716,0.0033146245,0.044954907,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235593509,0.9988228,-0.018030189,0.0033167026,0.044910494,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235598508,0.99882865,-0.018029207,0.0033243035,0.04478252,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235603508,0.9988309,-0.01801726,0.0033308237,0.04473476,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235608507,0.998829,-0.017994074,0.0033270214,0.044786755,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235613507,0.9988286,-0.017985908,0.0033166423,0.04480025,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235618505,0.99882776,-0.017995967,0.0033049434,0.044814408,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235623505,0.99882597,-0.018023182,0.0033005564,0.044843797,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235628505,0.9988264,-0.018025085,0.0033050238,0.044833455,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235633504,0.998828,-0.017998384,0.0033165193,0.044806715,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235638503,0.99882853,-0.017974004,0.0033234349,0.044806477,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235643502,0.99882853,-0.017978279,0.003326765,0.044801783,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235648502,0.9988287,-0.017998034,0.003329935,0.04479012,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235653516,0.9988278,-0.018018562,0.0033269774,0.04480208,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235658500,0.99882704,-0.01802698,0.0033303692,0.04481798,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235663499,0.99882793,-0.018009279,0.0033274868,0.044804808,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235668499,0.9988288,-0.017988121,0.0033307143,0.044793304,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235673498,0.99882865,-0.01798379,0.003329639,0.044798836,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235678497,0.9988284,-0.017996965,0.0033264407,0.044799265,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
235683497,0.9988284,-0.018012287,0.0033297946,0.044792965,0.999639,2.2857984e-09,1.6490277e-10,-0.026871294,3
