timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
341596275,0.99956614,-0.027900828,0.0076794303,-0.0054958016,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341601274,0.99956626,-0.02789585,0.00767903,-0.0054946593,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341606316,0.9995663,-0.02789744,0.0076796794,-0.005493468,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341611284,0.99956614,-0.0278992,0.0076817945,-0.0054944493,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341616274,0.9995661,-0.027901195,0.007681592,-0.005493971,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341621274,0.99956626,-0.02789856,0.0076777316,-0.0054787025,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341626278,0.99956614,-0.027892733,0.0076857815,-0.005518664,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341631274,0.9995659,-0.027894814,0.0076810285,-0.0055740075,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341636275,0.9995661,-0.027891185,0.0076806103,-0.005561099,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341641275,0.9995667,-0.027889937,0.007677433,-0.005463237,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341646275,0.99956733,-0.027885739,0.0076683173,-0.0053718016,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341651275,0.99956673,-0.027901934,0.007668597,-0.0053908788,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341656275,0.99956554,-0.02792122,0.0076763,-0.0054982943,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341661276,0.99956506,-0.027921503,0.007683908,-0.0055721635,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341666276,0.9995657,-0.027892381,0.0076850997,-0.0056080045,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341671276,0.9995666,-0.02787993,0.007678094,-0.0055182404,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341676276,0.99956685,-0.0278914,0.007671868,-0.005424145,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341681276,0.9995655,-0.027932035,0.0076842634,-0.0054509095,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341686277,0.99956423,-0.027966661,0.0076695425,-0.005510221,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341691276,0.9995648,-0.027954632,0.007667198,-0.0054872762,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341696276,0.99956614,-0.027910262,0.0076752305,-0.005448236,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341701277,0.9995672,-0.027872492,0.0076633603,-0.005478162,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341706277,0.9995662,-0.027892038,0.0076767555,-0.0055257385,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341711281,0.9995653,-0.027929721,0.0076792836,-0.0055118497,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341716277,0.99956495,-0.027948694,0.0076842243,-0.0054602884,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341721277,0.9995653,-0.027932938,0.007692652,-0.005459331,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341726277,0.9995658,-0.027907142,0.007695814,-0.0054965043,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341731278,0.9995657,-0.027906217,0.0077031804,-0.0055143656,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341736281,0.99956554,-0.027915118,0.007699017,-0.005495168,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341741369,0.99956536,-0.027926043,0.0076932143,-0.005481867,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341746337,0.9995651,-0.02793491,0.0076826457,-0.005495457,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341751310,0.99956506,-0.027938833,0.007674757,-0.005515106,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341756291,0.99956536,-0.02792724,0.0076731974,-0.0055144075,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341761285,0.9995659,-0.027908118,0.007679434,-0.005506265,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341766277,0.99956614,-0.027896084,0.007692743,-0.0055055954,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341771279,0.99956536,-0.027919818,0.0076961285,-0.0055077276,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341776278,0.99956477,-0.027944556,0.007695066,-0.00550692,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341781283,0.99956465,-0.02794526,0.0076881372,-0.005513959,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341786279,0.9995654,-0.027917713,0.00768979,-0.00553601,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341791279,0.99956566,-0.027903205,0.0077003124,-0.0055388636,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341796280,0.9995654,-0.027915778,0.0077014025,-0.0055165584,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341801280,0.99956477,-0.027937187,0.0077142236,-0.0055058184,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341806280,0.9995646,-0.027945362,0.0077052014,-0.00552691,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341811280,0.9995643,-0.027950756,0.0076948223,-0.0055499915,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341816281,0.9995644,-0.027950183,0.007691568,-0.0055459077,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341821281,0.99956495,-0.02793195,0.0077056973,-0.005518368,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341826280,0.99956506,-0.027926855,0.007713628,-0.0055122236,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341831280,0.99956465,-0.027937694,0.0077072326,-0.0055434313,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341836281,0.9995633,-0.027976053,0.0077070277,-0.005579584,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341841281,0.9995634,-0.02797938,0.0077161104,-0.00554429,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341846281,0.99956477,-0.02794103,0.0077204257,-0.005491716,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341851282,0.99956477,-0.027929103,0.007731932,-0.0055177743,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341856281,0.9995639,-0.027948897,0.007728139,-0.005605616,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341861282,0.99956334,-0.0279697,0.0077246944,-0.0055973297,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341866282,0.99956375,-0.02797112,0.0077443575,-0.0054901973,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341871285,0.9995637,-0.027976794,0.0077491375,-0.0054595717,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341876301,0.9995632,-0.027968388,0.0077535016,-0.005581499,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341881283,0.9995628,-0.027974723,0.0077532036,-0.0056196353,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341886283,0.9995632,-0.027986484,0.007742271,-0.005500381,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341891283,0.99956363,-0.027971039,0.007764982,-0.005473967,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341896283,0.9995628,-0.02796947,0.007789071,-0.005596427,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341901283,0.99956226,-0.027994392,0.007772565,-0.005589195,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341906284,0.9995622,-0.028020585,0.007762677,-0.0054829195,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341911283,0.99956244,-0.027994238,0.007794443,-0.0055288225,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341916284,0.99956274,-0.027969081,0.007800439,-0.0055905962,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341921287,0.99956244,-0.027992813,0.007787073,-0.005545294,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341926284,0.99956185,-0.02800226,0.007824544,-0.005548986,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341931285,0.9995616,-0.028012058,0.007825393,-0.0055591394,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341936284,0.9995618,-0.028014231,0.0078075766,-0.0055326005,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341941284,0.99956185,-0.02798739,0.007863157,-0.0055841915,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341946285,0.99956185,-0.027992811,0.007847127,-0.005577717,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
341951285,0.9995618,-0.028021079,0.0078012813,-0.005512997,0.99988616,-1.0181321e-10,3.2010466e-10,0.015089804,4
