timestamp,device_id,raw_data[0],raw_data[1],raw_data[2],raw_data[3],raw_data[4],raw_data[5],raw_data[6],raw_data[7],raw_data[8],raw_data[9],raw_data[10],raw_data[11],resolution,v_ref,channel_id[0],channel_id[1],channel_id[2],channel_id[3],channel_id[4],channel_id[5],channel_id[6],channel_id[7],channel_id[8],channel_id[9],channel_id[10],channel_id[11]
685057917,4294967295,1049,8,715,592,1531,1391,3256,2068,4039,3149,2182,1698,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685067917,4294967295,1047,10,713,503,1531,1450,3244,2066,4037,3148,2182,1702,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685078011,4294967295,1046,12,717,646,1532,1467,3251,2066,4042,3157,2191,1715,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685087996,4294967295,1056,21,717,645,1532,1445,3250,2068,4037,3156,2194,1705,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685097970,4294967295,1044,21,716,640,1533,1430,3208,2069,4037,3143,2204,1711,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685107966,4294967295,1038,29,720,645,1532,1369,3207,2080,4038,3149,2193,1708,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685117943,4294967295,1029,31,713,636,1532,1414,3207,2081,4036,3150,2194,1712,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685127938,4294967295,1042,27,713,549,1532,1469,3195,2066,4037,3153,2174,1712,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685137915,4294967295,1043,24,716,642,1531,1449,3192,2066,4039,3150,2193,1705,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685147915,4294967295,1045,26,717,605,1532,1435,3240,2079,4040,3152,2192,1700,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685157915,4294967295,1048,26,717,651,1531,1448,3247,2068,4039,3148,2193,1711,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685167919,4294967295,1047,25,717,646,1532,1430,3251,2068,4042,3152,2192,1724,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685177919,4294967295,1046,24,718,648,1532,1429,3251,2068,4041,3150,2176,1718,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685187915,4294967295,1047,22,722,646,1531,1431,3256,2067,4043,3154,2192,1714,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685197924,4294967295,1048,25,716,648,1532,1419,3242,2068,4046,3152,2179,1718,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685207916,4294967295,1043,26,718,565,1532,1416,3216,2067,4036,3139,2192,1708,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685217916,4294967295,1043,27,717,602,1530,1361,3214,2082,4041,3146,2190,1709,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685227916,4294967295,1043,28,716,596,1531,1457,3212,2086,4041,3146,2195,1709,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685237918,4294967295,1045,24,721,597,1532,1434,3212,2067,4039,3147,2180,1720,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685247917,4294967295,1049,34,721,607,1532,1432,3212,2068,4038,3149,2192,1708,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685257918,4294967295,1038,39,725,604,1532,1425,3257,2080,4042,3149,2192,1703,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685267919,4294967295,1049,36,724,506,1532,1419,3257,2085,4039,3151,2182,1703,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685277918,4294967295,1042,38,719,601,1532,1413,3252,2064,4040,3148,2181,1713,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685287921,4294967295,1042,36,717,645,1533,1407,3252,2068,4035,3146,2185,1709,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685297922,4294967295,1044,36,722,647,1532,1451,3254,2067,4037,3159,2194,1706,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685307920,4294967295,1046,43,716,642,1531,1436,3250,2068,4041,3160,2191,1707,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685317918,4294967295,1039,45,724,609,1531,1420,3214,2067,4041,3139,2192,1699,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685327920,4294967295,1033,39,720,556,1532,1354,3213,2068,4040,3144,2180,1704,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685337920,4294967295,1050,42,725,651,1532,1466,3216,2085,4043,3146,2205,1698,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685347920,4294967295,1044,40,720,644,1532,1445,3212,2085,4042,3149,2188,1705,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685357920,4294967295,1054,43,724,649,1532,1426,3195,2085,4038,3149,2203,1692,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685367903,4294967295,1040,48,726,644,1531,1435,3237,2091,4041,3151,2179,1694,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685377921,4294967295,1042,53,728,645,1531,1425,3245,2066,4035,3151,2190,1715,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685387920,4294967295,1035,64,728,645,1531,1418,3248,2068,4043,3158,2193,1711,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685397921,4294967295,1039,60,722,644,1532,1415,3253,2070,4037,3156,2200,1715,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685407921,4294967295,1039,49,727,653,1533,1424,3256,2068,4041,3155,2193,1714,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685417922,4294967295,1048,56,733,649,1531,1384,3258,2066,4039,3154,2191,1714,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685427921,4294967295,1044,56,724,653,1531,1431,3218,2069,4040,3137,2179,1710,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685437921,4294967295,1046,67,731,651,1531,1375,3217,2080,4039,3144,2179,1712,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685447922,4294967295,1048,64,722,641,1532,1469,3216,2069,4039,3146,2182,1715,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685457925,4294967295,1045,69,725,652,1531,1449,3217,2068,4041,3148,2180,1715,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685467924,4294967295,1035,71,728,638,1531,1435,3209,2085,4039,3144,2197,1712,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685477926,4294967295,1043,71,729,644,1530,1427,3239,2075,4041,3151,2194,1701,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685487924,4294967295,1040,86,734,655,1531,1423,3260,2068,4037,3152,2182,1706,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685497909,4294967295,1046,64,730,645,1531,1425,3253,2062,4039,3151,2181,1700,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685507923,4294967295,1043,86,732,652,1531,1407,3249,2068,4038,3153,2191,1713,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685517923,4294967295,1038,87,732,654,1531,1452,3252,2089,4040,3151,2181,1710,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
685527925,4294967295,1043,81,726,650,1530,1434,3251,2066,4041,3153,2204,1715,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
