timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
685055383,0.99992067,-0.00602514,0.0075005386,0.008141684,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685060381,0.99992067,-0.006021688,0.0074982014,0.008139926,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685065382,0.99992067,-0.006021357,0.0074993335,0.008138541,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685070383,0.99992067,-0.006019089,0.0074979276,0.008140081,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685075383,0.9999207,-0.006013214,0.007499559,0.008140212,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685080382,0.99992067,-0.0060090083,0.007496524,0.008150307,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685085383,0.99992037,-0.006007585,0.007493733,0.00818409,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685090387,0.9999208,-0.0059957355,0.0075073233,0.00812886,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685095382,0.99992156,-0.006000327,0.007509864,0.008030799,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685100384,0.9999213,-0.0059979064,0.007503512,0.008064321,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685105436,0.9999204,-0.0059833964,0.007495301,0.008193371,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685110396,0.9999203,-0.0059671905,0.0074943276,0.008225533,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685115383,0.99992067,-0.0059873597,0.007496147,0.00816718,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685120385,0.999921,-0.006011192,0.0075029284,0.008101824,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685125384,0.99992085,-0.0060061836,0.0075037093,0.008123765,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685130384,0.9999208,-0.005971032,0.007498732,0.008165411,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685135383,0.99992126,-0.0059474483,0.007509159,0.008113431,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685140383,0.99992144,-0.005974879,0.0075147147,0.008059642,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685145384,0.99992096,-0.005999823,0.007509126,0.008103716,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685150384,0.99992055,-0.005985816,0.0075162407,0.008157804,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685155384,0.999921,-0.0059615574,0.007512473,0.008130402,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685160384,0.99992126,-0.0059653157,0.007520142,0.008082226,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685165384,0.9999211,-0.0059802374,0.0075197485,0.008091718,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685170385,0.99992096,-0.005979319,0.0075114123,0.008126493,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685175385,0.9999211,-0.005966659,0.0075166747,0.008112616,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685180385,0.99992126,-0.005966887,0.0075220536,0.008084607,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685185385,0.99992114,-0.0059731603,0.0075172684,0.008099275,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685190385,0.99992096,-0.005970757,0.007513772,0.008121228,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685195385,0.9999212,-0.0059481864,0.007509817,0.008116398,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685200385,0.9999214,-0.005938562,0.007517454,0.008096961,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685205385,0.9999213,-0.0059518376,0.007521305,0.008090342,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685210385,0.99992114,-0.0059622503,0.0075190375,0.008101665,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685215386,0.99992126,-0.005950253,0.0075196847,0.008093786,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685220386,0.9999215,-0.005928911,0.007520983,0.00807882,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685225386,0.9999215,-0.0059287227,0.007519388,0.00809035,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685230386,0.99992126,-0.0059441803,0.0075212377,0.008106193,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685235439,0.9999212,-0.005947804,0.007516738,0.008108088,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685240401,0.9999214,-0.0059387526,0.00751427,0.008093818,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685245386,0.9999216,-0.005936412,0.0075195488,0.008072739,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
685250386,0.9999217,-0.0059355022,0.007518174,0.00806604,0.9993368,6.2410443e-10,4.1331405e-09,0.036415428,5
