timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
285273965,0.99973196,-0.007867862,0.0046378393,0.0212726,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285278964,0.9997321,-0.007865933,0.004637393,0.021271614,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285283966,0.99973214,-0.007865053,0.0046386444,0.02126768,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285288967,0.9997322,-0.007865984,0.0046366714,0.021266215,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285293968,0.99973214,-0.007864171,0.004635057,0.021269882,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285298969,0.99973214,-0.007865176,0.004634126,0.021270992,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285303972,0.9997321,-0.007867212,0.0046339603,0.02127253,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285308972,0.99973196,-0.007869415,0.004636403,0.021273555,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285313972,0.999732,-0.007867955,0.0046369117,0.02127507,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285318973,0.999732,-0.007867247,0.004636992,0.021275816,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285323974,0.999732,-0.007865611,0.0046371426,0.021275822,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285328983,0.99973196,-0.007862809,0.0046355347,0.021277333,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285333976,0.99973196,-0.007861281,0.0046328073,0.021277666,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285338977,0.999732,-0.007865011,0.00463088,0.021275144,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285343978,0.999733,-0.0078752665,0.0046372954,0.021224111,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285348986,0.99973327,-0.00788202,0.0046414947,0.021211633,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285353986,0.9997316,-0.007876141,0.004631952,0.02129037,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
285359033,0.99972856,-0.007865271,0.0046245293,0.021438384,0.99999225,2.0246538e-10,5.4100524e-10,0.0039596646,3
