timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
285268964,78112844,-33.930012700000006,18.8649518,-2.6838312,-8.348561,0.26896706,-0.024212597,-0.025190823,0.0,0.012935146,0.038366016,0.01925156,-0.0020830252,-0.038843874,-0.018811755,0.02251794,0.011013706,0.023048002,-0.0025261124,0.042468805,0.007919349,118.6399,0.1,0.2584829,0.44305035,0.1313246,0.10460078,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285278964,78112844,-33.930012700000006,18.8649518,-2.6839392,-8.348215,0.26875797,-0.024212597,-0.025190823,0.0,0.013063516,0.038359076,0.019124927,-0.0023585684,-0.038843874,-0.018811755,0.02251794,0.02260886,0.0069365427,0.003431594,0.0424736,0.007919349,118.6399,0.1,0.25936204,0.44368652,0.13177516,0.10477892,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285288967,78112844,-33.930012700000006,18.8649518,-2.684037,-8.347869,0.26856261,-0.024212597,-0.025190823,0.0,0.0130417105,0.038387116,0.019255584,-0.0023617884,-0.038843874,-0.018811755,0.02251794,0.0036748853,0.022409834,0.017875457,0.042462807,0.007919349,118.6399,0.1,0.2602465,0.44432467,0.13222606,0.10495714,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285298969,78112844,-33.930012700000006,18.8649518,-2.684126,-8.347523,0.26837966,-0.024212597,-0.025190823,0.0,0.012960942,0.038475957,0.019110974,-0.002625844,-0.038843874,-0.018811755,0.02251794,-0.0046658055,0.0239555,0.008755536,0.04247241,0.007919349,118.6399,0.1,0.26113623,0.4449649,0.13267769,0.10513542,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285308972,78112844,-33.930012700000006,18.8649518,-2.6842065,-8.347176,0.26820907,-0.024212597,-0.025190823,0.0,0.01295507,0.03828023,0.01916455,-0.002677856,-0.038843874,-0.018811755,0.02251794,0.011475173,-0.013576026,0.015600582,0.04247747,0.007919349,118.6399,0.1,0.2620313,0.44560707,0.1331298,0.10531378,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285318973,78112844,-33.930012700000006,18.8649518,-2.6842792,-8.346829,0.26805055,-0.024212597,-0.025190823,0.0,0.012880483,0.038197163,0.01902777,-0.0029069292,-0.038843874,-0.018811755,0.02251794,0.013671223,0.0006698198,-0.019367017,0.042482004,0.007919349,118.6399,0.1,0.26293167,0.44625127,0.13358283,0.10549221,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285328983,78112844,-33.930012700000006,18.8649518,-2.6843426,-8.346482,0.26790193,-0.024212597,-0.025190823,0.0,0.012992201,0.03828511,0.018881144,-0.0031330972,-0.038843874,-0.018811755,0.02251794,0.019692885,0.012155391,0.0017206784,0.0424851,0.007919349,118.6399,0.1,0.2638374,0.4468975,0.1340368,0.105670705,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285338977,78112844,-33.930012700000006,18.8649518,-2.6843975,-8.346135,0.26776233,-0.024212597,-0.025190823,0.0,0.013028713,0.038320944,0.01857769,-0.0035038562,-0.038843874,-0.018811755,0.02251794,0.013416323,0.0003578483,-0.024968732,0.04248077,0.007919349,118.6399,0.1,0.26474845,0.44754577,0.13449134,0.10584927,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285348986,78112844,-33.930012700000006,18.8649518,-2.6844437,-8.345787,0.26751915,-0.024212597,-0.025190823,0.0,0.013289936,0.03842327,0.018900784,-0.0033508127,-0.038843874,-0.018811755,0.02251794,0.072478205,0.06031451,0.10578436,0.04235339,0.007919349,118.6399,0.1,0.26566488,0.44456577,0.13494588,0.10570448,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
285359033,78112844,-33.930012700000006,18.8649518,-2.6844785,-8.345432,0.26729062,-0.024212597,-0.025190823,0.0,0.013468054,0.039364316,0.017669484,-0.0047358577,-0.038843874,-0.018811755,0.02251794,0.031290114,0.12469404,-0.20866399,0.04280743,0.007919349,118.6399,0.1,0.26658666,0.4452128,0.13540143,0.10588327,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
