timestamp,device_id,raw_data[0],raw_data[1],raw_data[2],raw_data[3],raw_data[4],raw_data[5],raw_data[6],raw_data[7],raw_data[8],raw_data[9],raw_data[10],raw_data[11],resolution,v_ref,channel_id[0],channel_id[1],channel_id[2],channel_id[3],channel_id[4],channel_id[5],channel_id[6],channel_id[7],channel_id[8],channel_id[9],channel_id[10],channel_id[11]
136296375,4294967295,1144,8,717,644,2,556,3195,2066,4041,3151,1568,1119,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136306399,4294967295,1146,8,716,644,0,578,3187,2069,4041,3154,1580,1120,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136316384,4294967295,1144,9,718,661,1,609,3206,2080,4041,3153,1569,1111,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136326495,4294967295,1148,12,717,648,1,587,3242,2065,4038,3150,1570,1113,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136336362,4294967295,1153,12,716,643,1,595,3255,2069,4037,3156,1569,1114,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136346364,4294967295,1156,11,716,653,1,586,3251,2068,4041,3154,1568,1118,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136356357,4294967295,1134,12,718,654,1,568,3251,2068,4040,3153,1569,1124,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136366354,4294967295,1149,14,718,648,1,582,3253,2080,4041,3156,1570,1121,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136376353,4294967295,1149,24,722,643,0,568,3221,2069,4037,3156,1567,1121,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136386362,4294967295,1146,22,721,646,1,571,3208,2081,4040,3141,1568,1122,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136396357,4294967295,1150,35,722,642,1,580,3206,2069,4039,3149,1568,1123,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136406353,4294967295,1145,28,720,646,1,530,3207,2067,4041,3152,1582,1121,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136416383,4294967295,1142,28,720,640,0,578,3200,2082,4038,3148,1579,1112,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136426355,4294967295,1144,28,720,652,1,578,3206,2084,4040,3154,1569,1108,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136436364,4294967295,1147,27,718,652,1,579,3254,2069,4039,3152,1569,1116,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136446362,4294967295,1147,24,721,287,1,579,3255,2082,4037,3152,1569,1121,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136456438,4294967295,1149,19,720,649,1,574,3257,2084,4040,3150,1569,1119,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136466382,4294967295,1145,27,722,650,2,586,3256,2066,4041,3156,1569,1119,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136476386,4294967295,1147,25,720,643,1,583,3254,2068,4041,3156,1581,1120,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136486357,4294967295,1148,24,719,657,1,581,3238,2068,4040,3158,1582,1113,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136496370,4294967295,1145,25,722,645,1,563,3208,2080,4041,3146,1569,1111,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136506416,4294967295,1144,25,721,643,1,532,3210,2069,4039,3145,1568,1115,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136516353,4294967295,1146,25,720,646,0,574,3193,2069,4040,3150,1568,1114,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136526353,4294967295,1143,28,722,642,1,612,3187,2068,4038,3153,1581,1110,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136536353,4294967295,1149,32,721,648,1,598,3189,2083,4037,3152,1566,1114,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136546353,4294967295,1146,32,722,609,1,582,3257,2068,4037,3152,1570,1117,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136556353,4294967295,1152,40,723,611,1,584,3255,2071,4041,3150,1569,1124,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136566353,4294967295,1144,38,722,652,1,589,3251,2084,4040,3155,1582,1118,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136576401,4294967295,1144,44,724,647,1,549,3254,2067,4041,3155,1569,1117,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136586353,4294967295,1153,46,725,655,0,584,3258,2082,4038,3154,1583,1118,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136596364,4294967295,1153,48,724,646,1,584,3250,2069,4041,3152,1564,1127,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136606353,4294967295,1134,36,726,662,1,570,3207,2085,4036,3146,1570,1129,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136616361,4294967295,1130,54,726,650,1,572,3209,2069,4038,3150,1569,1124,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136626363,4294967295,1141,46,723,643,1,549,3211,2068,4040,3152,1582,1120,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136636363,4294967295,1142,46,726,647,0,610,3200,2084,4038,3151,1569,1119,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136646361,4294967295,1142,49,727,644,1,595,3203,2069,4040,3154,1568,1119,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136656404,4294967295,1138,59,729,649,1,589,3252,2068,4041,3153,1568,1127,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136666379,4294967295,1147,53,730,652,1,586,3257,2084,4039,3151,1569,1123,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136676353,4294967295,1149,62,729,654,1,585,3254,2068,4041,3156,1573,1125,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136686379,4294967295,1143,58,727,621,1,577,3254,2068,4037,3150,1582,1120,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136696353,4294967295,1138,73,732,655,1,581,3255,2067,4038,3159,1582,1112,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136706353,4294967295,1146,60,727,657,1,580,3251,2068,4037,3159,1568,1111,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136716364,4294967295,1126,71,731,655,1,564,3212,2068,4037,3145,1581,1122,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
136726365,4294967295,1144,56,732,654,1,578,3214,2069,4036,3150,1568,1115,4096,3.3,0,1,2,3,4,8,10,11,12,13,14,16
