timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
458311910,0.9982624,0.032130614,0.012043425,-0.047905084,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458316910,0.9982623,0.03213192,0.012042668,-0.04790689,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458321908,0.99826235,0.032126326,0.012043418,-0.047907043,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458326909,0.9982624,0.032125764,0.012046184,-0.047907487,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458331910,0.9982638,0.0321268,0.012052022,-0.047875397,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458336911,0.99826336,0.032128915,0.012053089,-0.04788226,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458341912,0.9982593,0.03211837,0.012054954,-0.047975503,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458346912,0.9982576,0.03209464,0.01206107,-0.048023187,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458351915,0.99826074,0.03211179,0.012063861,-0.047945596,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458356917,0.9982631,0.032165352,0.012073916,-0.047857206,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458361917,0.9982631,0.032165796,0.012084336,-0.047854453,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458366922,0.99826527,0.032118198,0.012071876,-0.04784739,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458371943,0.9982631,0.032118335,0.012055762,-0.047894493,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458376930,0.998257,0.032131072,0.012053168,-0.048013963,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458381923,0.99825674,0.032101497,0.012047009,-0.048041463,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458386922,0.9982619,0.032114357,0.012058157,-0.047922082,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458391921,0.99826264,0.03218694,0.012076171,-0.047853485,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458396924,0.99825615,0.032162916,0.012098558,-0.047998857,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458401923,0.99825907,0.032055303,0.012101154,-0.048010007,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458406933,0.9982666,0.032099575,0.012097563,-0.047824465,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458411923,0.9982624,0.032227993,0.012098361,-0.047823418,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458416929,0.99825794,0.03216684,0.0120996395,-0.04796023,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458421925,0.99826235,0.032042366,0.012074061,-0.047957674,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458426941,0.9982643,0.03212562,0.012060977,-0.04786156,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458431930,0.9982615,0.03220324,0.012082108,-0.047865115,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458436932,0.99826163,0.032092087,0.012088191,-0.047933474,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
458441932,0.9982625,0.032054722,0.012089151,-0.04793976,0.9994027,8.0182755e-10,1.6104232e-10,0.03455977,4
